percent	matched	wrong
2.450853831427438	139	4
2.521637180873326	143	70
2.698428821563721	153	46
2.821880217960903	160	105
2.9268292427062987	166	118
3.297414663859776	187	8
3.438954441887992	195	53
3.5452047382082257	201	58
4.1455402851104735	235	118
4.603174621718271	261	8
4.814631983212062	273	115
4.991203134400504	283	42
5.060889564241681	287	170
5.5028766802379065	312	27
6.895943559919085	391	99
6.913580444880894	392	128
6.985057122366769	396	177
7.018109931264605	398	54
7.070589688846043	401	30
7.089947148731777	402	101
7.12522063936506	404	111
7.301587472643171	414	131
7.653267087255205	434	137
8.23504113810403	467	131
8.536155308995928	484	198
8.623048298699516	489	132
9.047619121415275	513	35
10.245623237746102	581	130
10.297457838058472	584	137
10.510189458302088	596	355
10.671086720057897	605	167
12.275583958625793	696	98
12.275583958625793	696	98
12.643136886187962	717	232
12.910085065024239	732	324
14.53310637814658	824	416
15.41231118951525	874	199
15.922269415855407	903	213
16.172866555622647	917	195
17.316228795051575	982	475
17.45947892325265	990	67
18.60695477894374	1055	334
20.13744263308389	1142	208
20.526960720334735	1164	69
20.98811682632991	1190	162
21.618284167562212	1226	154
23.118042182922363	1311	306
23.421759257997785	1328	100
24.00009125982012	1361	283
24.550081872940062	1392	411
24.917010848862784	1413	618
25.74657486166273	1460	585
25.766362268584114	1461	496
25.886996146610805	1468	387
26.523207456724986	1504	402
28.97538403442928	1643	368
31.28384326866695	1774	324
31.443229331289018	1783	583
32.67994294166565	1853	601
33.77385297162192	1915	397
34.75719414097922	1971	465
34.79419965062823	1973	188
36.1345874105181	2049	709
37.668968370982576	2136	827
38.728680338178364	2196	560
40.10155636923654	2274	619
41.65445044721876	2362	332
41.99126800809588	2381	287
42.500156266348704	2410	698
42.71178080354418	2422	463
44.141422333036154	2503	879
45.253184236798965	2566	1065
45.566535462651935	2584	548
46.09999174390521	2614	828
46.66371523993356	2646	282
47.651127862930295	2702	184
49.50146309988839	2807	509
50.29384540489742	2852	408
50.63172738211495	2871	1211
50.77131529535566	2879	348
52.003737688064575	2949	818
52.164613246917725	2958	325
52.95890911647252	3003	1501
53.80460442134312	3051	670
54.226599495751515	3075	537
54.63748054504394	3098	158
55.02245512689863	3120	197
56.395729303359985	3198	156
58.2309985433306	3302	1669
58.284144626344954	3305	127
58.67215226037162	3327	456
59.696794686998636	3385	660
59.906074796404155	3397	1138
60.01319033758981	3403	1918
60.43621843882969	3427	576
61.56545010975429	3491	145
62.34017345564706	3535	330
62.71142578806196	3556	131
63.50651758738926	3601	1717
63.699703747885565	3612	384
63.82227852685111	3619	538
64.05372836249215	3632	524
64.28192960194178	3645	620
65.1629031930651	3695	2177
65.35839638028826	3706	1368
65.374565247127	3707	156
66.00860390663146	3743	257
66.00860390663146	3743	257
66.326946244921	3761	136
66.51983118738447	3772	918
66.53965648923601	3773	425
66.80313640322004	3788	282
66.92767957959856	3795	2020
67.50922249385289	3828	535
67.6155265535627	3834	145
67.70174707685199	3839	376
67.84480333328247	3847	125
68.95591441563198	3910	198
69.25440440859113	3927	1592
69.41269942692348	3936	378
69.73192879813058	3954	156
69.80137315477644	3958	148
69.85578883034843	3961	601
70.40206849234444	3992	453
70.4903061730521	3997	200
70.68409399305071	4008	2190
70.73633230754308	4011	323
70.8061853136335	4015	416
70.93012112208775	4022	146
70.94885996409825	4023	402
70.96539414269584	4024	320
71.54482387815203	4057	1756
71.56501448495048	4058	476
71.9894242967878	4082	186
72.18345454079764	4093	171
72.20146789550782	4094	531
72.67835734231132	4121	129
72.80181391579764	4128	196
72.88889525277274	4133	148
72.95855456760951	4137	1285
73.03084348951067	4141	376
